Date : 2021-06-20 01:13:01
Directory : /Users/vcobbler/Desktop/push_swap
Total : 110 files,  2869 codes, 83 comments, 488 blanks, all 3440 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/vcobbler/Desktop/push_swap/libft/ft_isalpha.c                             | C        |          5 |          0 |          2 |          7 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_isascii.c                             | C        |          5 |          0 |          2 |          7 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_isdigit.c                             | C        |          5 |          0 |          2 |          7 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_isprint.c                             | C        |          5 |          0 |          2 |          7 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_isspace.c                             | C        |          6 |          0 |          2 |          8 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_itoa.c                                | C        |         27 |          0 |          3 |         30 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstadd_back.c                         | C        |         16 |          0 |          3 |         19 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstadd_front.c                        | C        |          8 |          0 |          2 |         10 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstclear.c                            | C        |         14 |          0 |          3 |         17 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstdelone.c                           | C        |          7 |          0 |          2 |          9 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstfirst.c                            | C        |          9 |          0 |          2 |         11 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstiter.c                             | C        |          9 |          0 |          2 |         11 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstlast.c                             | C        |          9 |          0 |          2 |         11 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstmap.c                              | C        |         21 |          0 |          3 |         24 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstnew.c                              | C        |          9 |          0 |          3 |         12 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_lstsize.c                             | C        |         12 |          0 |          3 |         15 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_memccpy.c                             | C        |         16 |          0 |          3 |         19 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_memchr.c                              | C        |         15 |          0 |          3 |         18 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_memcmp.c                              | C        |         16 |          0 |          3 |         19 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_memcpy.c                              | C        |         12 |          0 |          3 |         15 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_memmove.c                             | C        |         21 |          0 |          3 |         24 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_memset.c                              | C        |         11 |          0 |          3 |         14 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_mergesort.c                           | C        |         53 |          0 |          7 |         60 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_putchar_fd.c                          | C        |          5 |          0 |          2 |          7 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_putendl_fd.c                          | C        |          9 |          0 |          2 |         11 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_putnbr_fd.c                           | C        |         22 |          0 |          5 |         27 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_putstr_fd.c                           | C        |          8 |          0 |          2 |         10 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_split.c                               | C        |         64 |          0 |          7 |         71 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strchr.c                              | C        |         13 |          0 |          3 |         16 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strdup.c                              | C        |         16 |          0 |          3 |         19 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strjoin.c                             | C        |         15 |          0 |          3 |         18 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strlcat.c                             | C        |         19 |          0 |          3 |         22 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strlcpy.c                             | C        |         16 |          0 |          3 |         19 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strlen.c                              | C        |         11 |          0 |          3 |         14 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strmapi.c                             | C        |         15 |          0 |          3 |         18 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strncmp.c                             | C        |         10 |          0 |          2 |         12 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strndup.c                             | C        |         15 |          0 |          3 |         18 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strnstr.c                             | C        |         20 |          0 |          3 |         23 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strrchr.c                             | C        |         16 |          0 |          3 |         19 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_strtrim.c                             | C        |         18 |          0 |          3 |         21 |
| /Users/vcobbler/Desktop/push_swap/libft/ft_substr.c                              | C        |         15 |          0 |          3 |         18 |
